******,******,******,학년,교과/구분,개설대학,교과목/번호,교과목명,학점,강의,실습,담당/교수,강의시간,강의시간/(실제시간),강의실,수강/정원,수강/신청,수강꾸러미/신청,수강꾸러미/신청가능여부,비고,강의방식,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,*,교양,인문대학,CLTR208004,심화글쓰기,3,3,0,이준섭,월5B/6A/6B/금5B/6A/6B,월13:30 ~ 15:00/금13:30 ~ 15:00,인문한국진흥관-103,30,26,11,Y,전학년선택/인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,사회과학대학,CLTR205001,대학글쓰기,3,3,0,유귀영,화7A/7B/8A/목7A/7B/8A,화15:00 ~ 16:30/목15:00 ~ 16:30,사회과학대학-152,30,30,27,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,경상대학,CLTR205002,대학글쓰기,3,3,0,서정현,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,제4합동강의동-201,30,30,48,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,경상대학,CLTR205003,대학글쓰기,3,3,0,김도경,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,경상대학-124,30,29,35,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,경상대학,CLTR205004,대학글쓰기,3,3,0,김경미,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,제4합동강의동-202,30,30,42,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,경상대학,CLTR205005,대학글쓰기,3,3,0,이나영,화5B/6A/6B/목5B/6A/6B,화13:30 ~ 15:00/목13:30 ~ 15:00,제4합동강의동-201,30,30,18,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,경상대학,CLTR205006,대학글쓰기,3,3,0,우수영,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,제4합동강의동-307,30,30,28,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,교양,경상대학,CLTR205007,대학글쓰기,3,3,0,배선윤,화8B/9A/9B/목8B/9A/9B,화16:30 ~ 18:00/목16:30 ~ 18:00,국제경상관(경상정보교육관)-326,30,30,0,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205010,대학글쓰기,3,3,0,홍미주,수1A/1B/2A/금2B/3A/3B,수09:00 ~ 10:30/금10:30 ~ 12:00,공대6호관-314,30,30,45,Y,인문교양,대면,
교양/교직/군사학/창업,첨성인기초 - 글쓰기,NULL,1,기본소양,공과대학,CLTR205011,대학글쓰기,3,3,0,정혜영,수1A/1B/2A/금2B/3A/3B,수09:00 ~ 10:30/금10:30 ~ 12:00,공대6호관-316,30,30,30,Y,인문교양,대면,
